title,date_posted,company,company_rating,salary,salary_type,job_type,degree_type,remote,remote_type,city,region,city_lat,city_lng,data_tools,hard_skills,soft_skills
data entry,31-01-2023,PRIMUS,,35.165,hour,Fulltime,,True,Fully,Canberra,Australian Capital Territory,-35.2931,149.1269,,,"mentoring,data entry"
data entryadmin  graduate welcome  full training,01-02-2023,Conquest Personnel Pty Ltd,5.0,,,Fulltime,,False,,Melbourne,Victoria,-37.8136,144.9631,,,"training,numeric,writing,it,data entry"
registrations  data entry clerk,28-01-2023,Frizelle Sunshine Automotive,,,,Parttime,,False,,Southport,Queensland,-27.9667,153.4,excel,,"motivated,communication,mentoring,management,time management,data entry"
data entry officer,26-01-2023,Michael Page,3.7,,,,,True,Fully,Melbourne,Victoria,-37.8136,144.9631,,classification,"independent,flexible,attention to detail,management"
junior data analyst,31-01-2023,INX Software,,,,Fulltime,,False,,Perth,Western Australia,,,"excel,tableau,r,sql,python,snowflake,powerbi","etl,statistics,machine learning,analytics","reporting,consulting,stakeholder management,flexible,management,analysis,it,data analysis"
data modelerdata analyst,,Cognizioni IT Solutions LLC,,118114.5,year,"Fulltime, Contract, Fixed term",,True,Fully,,,,,,optimizing,
data analyst,31-01-2023,NSW Government -Planning,,107398.0,year,Fulltime,,False,,New South Wales,,,,,"recommendations,analytics","reporting,planning,innovative,communication,flexible,management,analysis,organisation,data analysis"
data entry officer,01-02-2023,Total Resource Solutions,,302.0,day,"Contract, Fixed term",,False,,Sydney,New South Wales,-33.865,151.2094,,,"attention to detail,management,analysis,data management,data entry"
research assistant  data coordinator medicine unit school of medicine,31-01-2023,Western Sydney University,4.2,97178.5,year,Fulltime,,False,,New South Wales,,,,,"prediction,research",research
business analystdata analyst,01-02-2023,Kraft Heinz Company,3.5,,,Internship,,True,Hybrid,Southbank,Victoria,,,,"kpi,statistics,research,analytics","training,coaching,communication,research,management,presenting,it"
financial administrator  data entry,01-02-2023,Commercial Eyes,,,,Parttime,,True,Fully,Melbourne,Victoria,-37.8136,144.9631,excel,"recurrent,analytics","training,organisational,reporting,collaboration,business analysis,administration,consulting,communication,flexible,management,analysis,data entry,analytical"
junior data reporting analyst,25-01-2023,Bank of Queensland,3.5,,,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,"sql,power bi,cognos,powerbi,cloud","recommendations,statistics","business intelligence,team player,reporting,planning,communication,organisation,maths,management,analysis,it,analytical"
admin  reception  data entry  cbd based,29-01-2023,Page Personnel,3.5,,,"Contract, Fixed term",,True,Fully,Sydney,New South Wales,-33.865,151.2094,,,"data entry,organisation"
data analyst,25-01-2023,Property Exchange Australia Limited,,,,Fulltime,,False,,,,,,"excel,tableau","etl,analytics","motivated,reporting,planning,attention to detail,enthusiastic,organisation,analysis,it,analytical,data analysis"
admission  data officer,31-01-2023,Opal Consulting Group,,110000.0,year,Fulltime,,False,,Sydney,New South Wales,-33.865,151.2094,,,"it,training"
