title,date_posted,company,company_rating,salary,salary_type,job_type,degree_type,remote,remote_type,city,region,city_lat,city_lng,data_tools,hard_skills,soft_skills,description_kw,description_summ
data entry clerk part time critical care complex te whatu ora,26-01-2023,Counties Manukau District Health Board,3.9,,,Parttime,,False,,Manukau City,Auckland,-37.0,174.885,excel,,"written communication,organisational,administration,communication,organisation,writing,team player,customer service,report writing,training,data entry,flexible",team. collection. experience. skill. data. hour,essential minimum 2 year administration experience intermediate user m office word excel excel relevant experience data collection data entry managing data excellent verbal written communication skill challenge would love hear dependent skill experience salary line psa clerical administrative staff collective agreement 64903 67787 prorata. well collection input essential data supporting administration function department working collaboratively senior medical nursing staff maintain database assist report writing required within timeframe filing data processing utilising demonstrating information would great position someone seeking gain understanding experience clinical data collection database work. main focus role data collection entry input variety data base along associated administrative tasks. strongly encourage application background share value passion work community would greatly value seeing applicant maaori pacific communities. 6fte hour monday friday negotiable looking real team player proven clerical administrative skill join critical care complex ccc team
data entry clerk part time critical care complex te whatu ora,26-01-2023,New Zealand Government,2.6,,,"Parttime, Permanent",,False,,Auckland City,Auckland,-36.85,174.7833,excel,,"written communication,organisational,administration,communication,organisation,writing,team player,customer service,report writing,training,data entry,flexible",team. collection. experience. skill. data. hour,essential minimum 2 year administration experience intermediate user m office word excel excel relevant experience data collection data entry managing data excellent verbal written communication skill challenge would love hear dependent skill experience salary line psa clerical administrative staff collective agreement 64903 67787 prorata. well collection input essential data supporting administration function department working collaboratively senior medical nursing staff maintain database assist report writing required within timeframe filing data processing utilising demonstrating information would great position someone seeking gain understanding experience clinical data collection database work. main focus role data collection entry input variety data base along associated administrative tasks. strongly encourage application background share value passion work community would greatly value seeing applicant maaori pacific communities. 6fte hour monday friday negotiable looking real team player proven clerical administrative skill join critical care complex ccc team
data analyst,31-01-2023,Toyota New Zealand,,,,Fulltime,Masters,False,,,,,,power bi,analytics,"written communication,reporting,communication,leadership,organisation,training",individual. accessible. toyota. business. zealand,responsibility include taking ownership data project working customer create plan work support achievement request objective unpacking customer request understand business issue translate effective bi solution managing project jira confluence including project delivery timeline prioritisation project progress update taking ownership data governance process practice control measure ensure followed across business ensuring data correctly validated quality retained take successful role natural affinity data number strong attention detail exceptional attitude real desire learn experience power bi advantageous essential exceptional verbal written communication skill competence microsoft office suite. one team moving new role within toyota rare opportunity exists join one new zealand well respected trusted company data analytics team operates within business technology team. leading automotive brand new zealand toyota focused winning heart new zealand exceptional customer experience mobility want make mobility available everyone accessible affordable safe innovation technology enhances new zealander lives. confident meet please apply one people see dream job never quite get around applying wish update cv hit apply today role like come along often applicant new zealand citizenship new zealand permanent residency apply. data team operates within business technology department provides crucial critical role enabling business user trust use data within system maximise opportunity help ensure operational stability performance
data analyst,28-01-2023,New Zealand Government,2.6,,,"Fulltime, Permanent",,False,,,Bay of Plenty,,,"excel,sisense,sql,power bi",analytics,"enthusiastic,management,communication,organisation,analytical,data analysis,analysis,decision making,presentation",collection. team. work. experience. skill. data,excellent communication skill strong analytical skill knowledge skill turn raw data information insight would love hear essential skill strong communication skill verbal written excellent microsoft excel skill familiar data warehousing process concept preferable skill experience health sector experience microsoft sql management studio experience data presentation visualisation tool sisense power bi qlik. data analyst decision support unit permanent full time love data looking data analyst based rotorua hospital. position integral providing data analysis used operational management decision making ensure health care system delivers quality health care efficiently supporting datadriven approach healthcare. position support clinical nonclinical colleague throughout organisation supply data analytics also provision data external stakeholders. working te whatu os lake provides great opportunity balance amazing lifestyle rewarding professional experience excellent supportive work environment
data adminstrator,26-01-2023,Emergent,,,,,,False,,Auckland City,Auckland,-36.85,174.7833,excel,,"reporting,communication,administration,organisation,motivated,training,data entry,flexible",synonymous. key. fun. engagement. role. administration,key responsibility include data entry investigate take ownership endtoend resolution customer query maintain internal database excel reporting considered role strong working ethic desire develop grow strong communication skill verbal written motivated approach efficient strong microsoft office skill delay apply emergent specialises providing experienced skilled temporary permanent staff wide variety businesses. entry level role database administration work flexibility fun supportive team culture client large customerfocused company seeking keen individual assist database administration customer engagement join team. take time listen individual requirement ensuring understand order match great role one fit requirement many way possible. please note requirement must already hold nz passport nz residency apply role. working environment offer flexible working offer great training development
graduate data scientist  wellington,31-01-2023,New Zealand Government,2.6,,,Fixed term contract,Masters,False,,Wellington City,Wellington,-41.2889,174.7772,"python,r","geospatial,analytics","business intelligence,planning,communication,analytical,data analysis,analysis,innovative,training,decision making,flexible",grow. apply. insight. work. science. data,care wellbeing success people provide supportive inclusive working environment people thrive graduate data scientist wellington 12 month fixed term contract secondment national office wellington excellent entry level graduate position experience required may advantage full training development provided grow passion data science career u would like work agency supported million new zealander disruption covid19 sound like want know apply insight msd group within strategy insight specific responsibility develop operate data analytics capability generate actionable insight provide tool support decision making. data science experience relevant tertiary qualification particularly data science computer science math physic statistic equivalent experience experience using statistical data science language sa python r manipulate structured unstructured data extract insight large datasets. programming language may advantagemust positive attitude key u looking someone want learn experience investigating analysing complex problem reaching sound conclusion excellent communication skill ability translate data analysis story easily interpreted operational area nontechnical user joining public service public service work collectively make meaningful difference new zealander future. group focus supporting people make better decision improve new zealander life making better use data information evidence. role role use data science skill experience help solve provide innovative solution realworld problems
data analyst,,Fisher & Paykel Healthcare,4.2,,,Permanent,,False,,,,,,power bi,"optimization,visualization,analytics","communication,reporting,coaching,presentation",apply. protection. work. experience. data. business,working people core part love role analyst sense humour fit right skill experience advanced power bi skill including dax designing model performance optimization default proven skillset endtoend analytics solution excellent visualization presentation skill tertiary qualification similar technical discipline experience similar enterprise level role preferred join fisher paykel healthcare aside working one new zealand largest company meaningful work excellent people thing bring table beautiful campus free parking several cafeteria offering amazing subsidised food new zealand top chefs. team role member tight knit team excited technical depth model build coaching others team across company analytics mindset approach. exciting opportunity data analyst join data centre excellence support ongoing analytics growth across global company. offer life insurance income protection insurance critical illness cover well benefit like generous parental support scheme profitsharing bonus discounted share purchase scheme. championing best practice part love seeing impact technical deliverable well experience end users
data analyst,31-01-2023,Toyota,4.0,,,,Masters,False,,Palmerston North,Manawatu,-40.3549,175.6095,power bi,analytics,"written communication,reporting,communication,leadership,organisation,training",individual. accessible. toyota. business. zealand,responsibility include taking ownership data project working customer create plan work support achievement request objective unpacking customer request understand business issue translate effective bi solution managing project jira confluence including project delivery timeline prioritisation project progress update taking ownership data governance process practice control measure ensure followed across business ensuring data correctly validated quality retained take successful role natural affinity data number strong attention detail exceptional attitude real desire learn experience power bi advantageous essential exceptional verbal written communication skill competence microsoft office suite. one team moving new role within toyota rare opportunity exists join one new zealand well respected trusted company data analytics team operates within business technology team. leading automotive brand new zealand toyota focused winning heart new zealand exceptional customer experience mobility want make mobility available everyone accessible affordable safe innovation technology enhances new zealander lives. confident meet please apply one people see dream job never quite get around applying wish update cv hit apply today role like come along often applicant new zealand citizenship new zealand permanent residency apply. data team operates within business technology department provides crucial critical role enabling business user trust use data within system maximise opportunity help ensure operational stability performance
data analyst partners in care,31-01-2023,Health Quality & Safety Commission,,,,Fulltime,,False,,Wellington City,Wellington,-41.2889,174.7772,,,"analytical,leadership,organisation",improve. ngākau. adding. system. commission. health,wellingtonbased permanent fulltime ngākau tuwhera open te tāpiri uara adding value whakahohe energising mō te iwi people kotahitanga together building health system focus people serf important want apply analytical skill help achieve health quality safety commission commission recruiting data analyst join hoa tiaki partner care team commission consumer whānau engagement programme. commission responsible assisting provider private public across whole health disability sector improve service safety quality therefore outcome use service aotearoa new zealand. programme also provides leadership support health sector ensuring perspective people access health system reflected everywhere design delivery evaluation. also work closely commission health quality intelligence team mentored supported analyst team. ideal candidate passionate complexity measuring quality health care strong analytical skill comfortable working qualitative quantitative data sets
technology sales intern data  ai  auckland,25-01-2023,IBM,3.9,,,Fulltime,,False,,Auckland City,Auckland,-36.85,174.7833,"cloud,excel,powerpoint","artificial intelligence,ai,analytics","dedication,consulting,management,enthusiastic,communication,organisation,innovative,presentation",addressing. experience. lead. background. unit. technology. sale. work. ibm,responsibility role include share knowledge within ibm become internal ambassador data analytics ai solution adoption support ibm team analytics data science ai project work closely compile report presentation senior executive professional skillsknowledge preferred excel powerpoint microsoft word intermediate skill favourable proven interest ittechnology industry specifically data ai strong written oral communication skill ability work independently part team ability work people senior level build business relationship capability work global multicultural diverse environment highly organised strong attention detail duration 6 month fulltime based auckland office study background degree welcomed eligible apply intern applicant must meet following requirement new zealand citizenship new zealand permanent residency unrestricted working right visa enrolled tertiary degree university new zealand duration internship program 2 year relevant work experience eeo believe true innovation driven diversity order uphold reputation industryleading enterprise rely people different background different perspective different attitudes. life ibm world technology never stand still understand dedication client success innovation matter trust personal responsibility relationship life ibmers strive catalyst make world work better. courage ibmers make critical decision everyday essential ibm becoming catalyst progress always embracing challenge resource hand cando attitude always striving outcome focused approach within everything ready ibmer job requires provide covid19 vaccination status supporting documentation legally permissible. role responsibility role responsibility ibm new zealand looking innovative enthusiastic young professional data ai sale internship. required technical professional expertise preferred technical professional expertise business unit ibm global presence operating 175 country broadbased geographic distribution revenue
